CMDLINE /opt/conda/bin/python dim_redu.py
MEM 2429.890625 1725504007.2216
MEM 2429.890625 1725504007.3220
MEM 2429.890625 1725504007.4225
MEM 2429.929688 1725504007.5229
MEM 2433.250000 1725504007.6234
MEM 2433.250000 1725504007.7239
MEM 2433.250000 1725504007.8243
MEM 2433.250000 1725504007.9247
MEM 2432.277344 1725504008.0251
MEM 2434.613281 1725504008.1255
MEM 2436.386719 1725504008.2260
MEM 2824.449219 1725504008.3265
MEM 2984.457031 1725504008.4270
MEM 2984.457031 1725504008.5275
MEM 2984.457031 1725504008.6279
MEM 2984.457031 1725504008.7284
MEM 2984.457031 1725504008.8289
MEM 2984.457031 1725504008.9294
MEM 2984.457031 1725504009.0298
MEM 2984.457031 1725504009.1303
MEM 2984.457031 1725504009.2307
MEM 2984.457031 1725504009.3312
MEM 2984.457031 1725504009.4316
MEM 3041.585938 1725504009.5321
MEM 3041.585938 1725504009.6326
MEM 3041.585938 1725504009.7331
MEM 3041.585938 1725504009.8335
MEM 3041.585938 1725504009.9341
MEM 3041.585938 1725504010.0346
MEM 3041.585938 1725504010.1350
MEM 3041.585938 1725504010.2354
MEM 3041.585938 1725504010.3359
MEM 3041.585938 1725504010.4364
MEM 3041.585938 1725504010.5368
MEM 2994.554688 1725504010.6373
MEM 3102.152344 1725504010.7378
MEM 3102.152344 1725504010.8383
MEM 3159.023438 1725504010.9387
MEM 3159.023438 1725504011.0392
MEM 3075.828125 1725504011.1401
MEM 3102.253906 1725504011.2405
MEM 3102.253906 1725504011.3410
MEM 3112.253906 1725504011.4414
MEM 3159.218750 1725504011.5418
MEM 3075.316406 1725504011.6423
MEM 3102.257812 1725504011.7428
MEM 3102.257812 1725504011.8433
MEM 3102.257812 1725504011.9437
MEM 3159.226562 1725504012.0442
MEM 3159.226562 1725504012.1446
MEM 3077.378906 1725504012.2451
MEM 3102.257812 1725504012.3456
MEM 3102.257812 1725504012.4461
MEM 3159.230469 1725504012.5465
MEM 3159.230469 1725504012.6469
MEM 3076.222656 1725504012.7473
MEM 3102.261719 1725504012.8476
MEM 3102.261719 1725504012.9478
MEM 3159.230469 1725504013.0480
MEM 3073.996094 1725504013.1482
MEM 3081.726562 1725504013.2484
MEM 3102.281250 1725504013.3486
MEM 3128.281250 1725504013.4489
MEM 3159.218750 1725504013.5493
MEM 3076.039062 1725504013.6497
MEM 3102.281250 1725504013.7501
MEM 3102.281250 1725504013.8503
MEM 3159.195312 1725504013.9506
MEM 3074.417969 1725504014.0509
MEM 3090.917969 1725504014.1512
MEM 3102.261719 1725504014.2514
MEM 3104.378906 1725504014.3517
MEM 3159.261719 1725504014.4519
MEM 3074.542969 1725504014.5522
MEM 3102.257812 1725504014.6525
MEM 3102.257812 1725504014.7528
MEM 3102.257812 1725504014.8531
MEM 3159.125000 1725504014.9533
MEM 3074.285156 1725504015.0535
MEM 3087.562500 1725504015.1538
MEM 3102.257812 1725504015.2540
MEM 3102.257812 1725504015.3545
MEM 3159.226562 1725504015.4549
MEM 3159.226562 1725504015.5554
MEM 3075.449219 1725504015.6560
MEM 3102.261719 1725504015.7565
MEM 3102.261719 1725504015.8570
MEM 3102.261719 1725504015.9576
MEM 3159.230469 1725504016.0581
MEM 3159.230469 1725504016.1587
MEM 3076.093750 1725504016.2592
MEM 3102.261719 1725504016.3597
MEM 3102.261719 1725504016.4602
MEM 3102.261719 1725504016.5607
MEM 3159.230469 1725504016.6611
MEM 3159.230469 1725504016.7614
MEM 3077.640625 1725504016.8616
MEM 3102.261719 1725504016.9618
MEM 3102.261719 1725504017.0621
MEM 3102.261719 1725504017.1623
MEM 3159.230469 1725504017.2625
MEM 3159.230469 1725504017.3638
MEM 3076.996094 1725504017.4641
MEM 3102.261719 1725504017.5643
MEM 3102.261719 1725504017.6645
MEM 3102.261719 1725504017.7650
MEM 3159.234375 1725504017.8655
MEM 3159.234375 1725504017.9660
MEM 3076.222656 1725504018.0665
MEM 3102.261719 1725504018.1670
MEM 3102.261719 1725504018.2674
MEM 3102.261719 1725504018.3679
MEM 3159.230469 1725504018.4683
MEM 3159.230469 1725504018.5688
MEM 3074.804688 1725504018.6691
MEM 3102.261719 1725504018.7694
MEM 3102.261719 1725504018.8696
MEM 3102.261719 1725504018.9698
MEM 3159.234375 1725504019.0700
MEM 3073.902344 1725504019.1719
MEM 3079.187500 1725504019.2721
MEM 3102.261719 1725504019.3723
MEM 3102.261719 1725504019.4725
MEM 3102.261719 1725504019.5727
MEM 3159.230469 1725504019.6729
MEM 3074.160156 1725504019.7759
MEM 3085.718750 1725504019.8763
MEM 3102.347656 1725504019.9765
MEM 3102.347656 1725504020.0768
MEM 3102.347656 1725504020.1770
MEM 3159.378906 1725504020.2774
MEM 3074.617188 1725504020.3777
MEM 3096.984375 1725504020.4781
MEM 3102.367188 1725504020.5784
MEM 3102.367188 1725504020.6787
MEM 3102.367188 1725504020.7792
MEM 3159.328125 1725504020.8795
MEM 3074.312500 1725504020.9800
MEM 3090.003906 1725504021.0807
MEM 3102.367188 1725504021.1812
MEM 3102.367188 1725504021.2818
MEM 3102.367188 1725504021.3822
MEM 3159.335938 1725504021.4827
MEM 3159.390625 1725504021.5833
MEM 3083.074219 1725504021.6838
MEM 3102.410156 1725504021.7841
MEM 3102.410156 1725504021.8844
MEM 3102.410156 1725504021.9846
MEM 3159.406250 1725504022.0849
MEM 3159.406250 1725504022.1852
MEM 3077.394531 1725504022.2855
MEM 3102.402344 1725504022.3857
MEM 3102.402344 1725504022.4860
MEM 3102.402344 1725504022.5862
MEM 3159.359375 1725504022.6866
MEM 3074.082031 1725504022.7870
MEM 3074.257812 1725504022.8874
MEM 3081.218750 1725504022.9876
MEM 3102.488281 1725504023.0879
MEM 3102.488281 1725504023.1884
MEM 3102.488281 1725504023.2889
MEM 3159.386719 1725504023.3894
MEM 3159.386719 1725504023.4900
MEM 3074.156250 1725504023.6121
MEM 3075.574219 1725504023.7126
MEM 3102.515625 1725504023.8131
MEM 3102.515625 1725504023.9136
MEM 3102.515625 1725504024.0141
MEM 3159.488281 1725504024.1146
MEM 3159.488281 1725504024.2151
MEM 3074.156250 1725504024.3156
MEM 3075.316406 1725504024.4161
MEM 3102.515625 1725504024.5166
MEM 3102.515625 1725504024.6171
MEM 3102.515625 1725504024.7175
MEM 3102.515625 1725504024.8180
MEM 3159.488281 1725504024.9183
MEM 3074.156250 1725504025.0187
MEM 3074.156250 1725504025.1189
MEM 3075.058594 1725504025.2192
MEM 3102.515625 1725504025.3198
MEM 3102.515625 1725504025.4202
MEM 3102.515625 1725504025.5207
MEM 3106.515625 1725504025.6212
MEM 3159.488281 1725504025.7215
MEM 3074.156250 1725504025.8217
MEM 3075.183594 1725504025.9220
MEM 3102.511719 1725504026.0223
MEM 3102.511719 1725504026.1225
MEM 3102.511719 1725504026.2228
MEM 3102.511719 1725504026.3230
MEM 3159.480469 1725504026.4232
MEM 3159.480469 1725504026.5235
MEM 3074.156250 1725504026.6239
MEM 3076.347656 1725504026.7241
MEM 3102.515625 1725504026.8244
MEM 3102.515625 1725504026.9246
MEM 3102.515625 1725504027.0249
MEM 3159.488281 1725504027.1251
MEM 3074.156250 1725504027.2254
MEM 3074.156250 1725504027.3256
MEM 3075.316406 1725504027.4259
MEM 3102.515625 1725504027.5261
MEM 3102.515625 1725504027.6264
MEM 3102.515625 1725504027.7266
MEM 3159.488281 1725504027.8271
MEM 3159.488281 1725504027.9275
MEM 3074.156250 1725504028.0278
MEM 3074.671875 1725504028.1281
MEM 3102.515625 1725504028.2284
MEM 3102.515625 1725504028.3287
MEM 3102.515625 1725504028.4289
MEM 3159.484375 1725504028.5292
MEM 3159.484375 1725504028.6294
MEM 3074.156250 1725504028.7319
MEM 3074.671875 1725504028.8322
MEM 3102.515625 1725504028.9324
MEM 3102.515625 1725504029.0327
MEM 3102.515625 1725504029.1329
MEM 3159.488281 1725504029.2331
MEM 3159.488281 1725504029.3333
MEM 3074.156250 1725504029.4336
MEM 3074.156250 1725504029.5338
MEM 3075.960938 1725504029.6341
MEM 3102.515625 1725504029.7343
MEM 3102.515625 1725504029.8345
MEM 3102.515625 1725504029.9347
MEM 3159.488281 1725504030.0349
MEM 3074.156250 1725504030.1351
MEM 3074.156250 1725504030.2354
MEM 3075.296875 1725504030.3356
MEM 3102.496094 1725504030.4358
MEM 3102.496094 1725504030.5361
MEM 3159.414062 1725504030.6363
MEM 3159.414062 1725504030.7368
MEM 3074.156250 1725504030.8370
MEM 3076.089844 1725504030.9373
MEM 3102.515625 1725504031.0375
MEM 3102.515625 1725504031.1378
MEM 3102.515625 1725504031.2380
MEM 3159.484375 1725504031.3383
MEM 3074.156250 1725504031.4385
MEM 3074.156250 1725504031.5387
MEM 3079.183594 1725504031.6390
MEM 3102.515625 1725504031.7392
MEM 3102.515625 1725504031.8393
MEM 3102.515625 1725504031.9395
MEM 3159.488281 1725504032.0398
MEM 3074.156250 1725504032.1400
MEM 3075.574219 1725504032.2403
MEM 3102.515625 1725504032.3405
MEM 3102.515625 1725504032.4408
MEM 3102.515625 1725504032.5409
MEM 3159.488281 1725504032.6411
MEM 3074.156250 1725504032.7414
MEM 3074.156250 1725504032.8416
MEM 3081.761719 1725504032.9418
MEM 3102.515625 1725504033.0420
MEM 3102.515625 1725504033.1422
MEM 3102.515625 1725504033.2424
MEM 3102.515625 1725504033.3426
MEM 3159.488281 1725504033.4428
MEM 3074.156250 1725504033.5431
MEM 3075.960938 1725504033.6435
MEM 3102.515625 1725504033.7440
MEM 3102.515625 1725504033.8444
MEM 3102.515625 1725504033.9450
MEM 3159.488281 1725504034.0455
MEM 3074.156250 1725504034.1460
MEM 3074.156250 1725504034.2465
MEM 3076.269531 1725504034.3470
MEM 3102.535156 1725504034.4475
MEM 3102.535156 1725504034.5496
MEM 3102.535156 1725504034.6498
MEM 3159.546875 1725504034.7500
MEM 3159.546875 1725504034.8502
MEM 3074.156250 1725504034.9504
MEM 3075.089844 1725504035.0506
MEM 3102.535156 1725504035.1508
MEM 3102.535156 1725504035.2510
MEM 3102.535156 1725504035.3512
MEM 3159.332031 1725504035.4514
MEM 3074.156250 1725504035.5516
MEM 3075.718750 1725504035.6518
MEM 3102.531250 1725504035.7520
MEM 3102.531250 1725504035.8522
MEM 3102.531250 1725504035.9525
MEM 3159.503906 1725504036.0530
MEM 3074.156250 1725504036.1536
MEM 3074.156250 1725504036.2540
MEM 3076.734375 1725504036.3544
MEM 3102.515625 1725504036.4549
MEM 3102.515625 1725504036.5553
MEM 3102.515625 1725504036.6557
MEM 3159.484375 1725504036.7561
MEM 3074.156250 1725504036.8565
MEM 3077.507812 1725504036.9568
MEM 3102.515625 1725504037.0571
MEM 3102.515625 1725504037.1573
MEM 3102.515625 1725504037.2576
MEM 3159.488281 1725504037.3579
MEM 3074.156250 1725504037.4581
MEM 3080.085938 1725504037.5584
MEM 3102.515625 1725504037.6587
MEM 3102.515625 1725504037.7589
MEM 3102.515625 1725504037.8591
MEM 3159.488281 1725504037.9592
MEM 3074.156250 1725504038.0611
MEM 3075.058594 1725504038.1613
MEM 3096.585938 1725504038.2615
MEM 3102.515625 1725504038.3618
MEM 3102.515625 1725504038.4620
MEM 3159.488281 1725504038.5622
MEM 3159.488281 1725504038.6643
MEM 3074.156250 1725504038.7647
MEM 3076.089844 1725504038.8650
MEM 3102.515625 1725504038.9655
MEM 3102.515625 1725504039.0660
MEM 3130.515625 1725504039.1663
MEM 3159.488281 1725504039.2666
MEM 3074.156250 1725504039.3669
MEM 3076.476562 1725504039.4672
MEM 3102.515625 1725504039.5675
MEM 3102.515625 1725504039.6678
MEM 3102.515625 1725504039.7680
MEM 3159.488281 1725504039.8682
MEM 3074.156250 1725504039.9685
MEM 3075.703125 1725504040.0687
MEM 3102.531250 1725504040.1689
MEM 3102.531250 1725504040.2691
MEM 3102.531250 1725504040.3693
MEM 3102.531250 1725504040.4696
MEM 3159.414062 1725504040.5698
MEM 3074.171875 1725504040.6701
MEM 3076.093750 1725504040.7704
MEM 3102.519531 1725504040.8708
MEM 3102.519531 1725504040.9711
MEM 3102.519531 1725504041.0713
MEM 3159.476562 1725504041.1715
MEM 3074.171875 1725504041.2718
MEM 3075.976562 1725504041.3720
MEM 3102.531250 1725504041.4722
MEM 3102.531250 1725504041.5725
MEM 3102.531250 1725504041.6727
MEM 3159.503906 1725504041.7729
MEM 3074.171875 1725504041.8732
MEM 3075.847656 1725504041.9735
MEM 3102.531250 1725504042.0737
MEM 3102.531250 1725504042.1739
MEM 3102.531250 1725504042.2741
MEM 3159.503906 1725504042.3743
MEM 3074.171875 1725504042.4745
MEM 3076.878906 1725504042.5748
MEM 3102.531250 1725504042.6750
MEM 3102.531250 1725504042.7752
MEM 3159.503906 1725504042.8754
MEM 3159.503906 1725504042.9756
MEM 3074.816406 1725504043.0759
MEM 3090.285156 1725504043.1761
MEM 3102.531250 1725504043.2764
MEM 3102.531250 1725504043.3766
MEM 3159.500000 1725504043.4768
MEM 3159.500000 1725504043.5770
MEM 3074.171875 1725504043.6772
MEM 3076.363281 1725504043.7775
MEM 3102.531250 1725504043.8777
MEM 3102.531250 1725504043.9783
MEM 3102.531250 1725504044.0788
MEM 3159.503906 1725504044.1793
MEM 3074.171875 1725504044.2798
MEM 3078.167969 1725504044.3804
MEM 3102.531250 1725504044.4808
MEM 3102.531250 1725504044.5813
MEM 3134.523438 1725504044.6818
MEM 3159.503906 1725504044.7822
MEM 3074.300781 1725504044.8826
MEM 3087.062500 1725504044.9829
MEM 3102.531250 1725504045.0831
MEM 3102.531250 1725504045.1833
MEM 3159.503906 1725504045.2835
MEM 3159.503906 1725504045.3836
MEM 3074.171875 1725504045.4840
MEM 3077.523438 1725504045.5842
MEM 3102.531250 1725504045.6844
MEM 3102.531250 1725504045.7846
MEM 3148.523438 1725504045.8848
MEM 3159.503906 1725504045.9850
MEM 3074.171875 1725504046.0853
MEM 3088.992188 1725504046.1856
MEM 3102.527344 1725504046.2859
MEM 3102.527344 1725504046.3861
MEM 3142.515625 1725504046.4863
MEM 3159.496094 1725504046.5865
MEM 3074.171875 1725504046.6868
MEM 3075.535156 1725504046.7871
MEM 3102.476562 1725504046.8873
MEM 3102.476562 1725504046.9875
MEM 3102.476562 1725504047.0877
MEM 3102.476562 1725504047.1879
MEM 3159.363281 1725504047.2881
MEM 3074.171875 1725504047.3883
MEM 3075.304688 1725504047.4886
